Country,Ranking criterion,Quintile1,Metric,Variable,Value,Level 1 ,Category,Year,Calc Type,Quintile,lower,lower1
AT,educ,2,Employment change,"Manuf/utils,11_19",-3200.12,Sector,Manufacturing/utilties,2011–2019,Education,Mid-low,manufacturing/utilties,education
AT,educ,2,Employment change,"Manuf/utils,19_22",8460.643,Sector,Manufacturing/utilties,2019–2022,Education,Mid-low,manufacturing/utilties,education
AT,educ,2,Employment change,"Construction,11_22",-2851.575,Sector,Construction,2011–2022,Education,Mid-low,construction,education
AT,educ,2,Employment change,"Construction,11_19",373.8051,Sector,Construction,2011–2019,Education,Mid-low,construction,education
AT,educ,2,Employment change,"Construction,19_22",-3225.38,Sector,Construction,2019–2022,Education,Mid-low,construction,education
AT,educ,2,Employment change,"Agric/extractive,11_22",-22780.42,Sector,Agriculture,2011–2022,Education,Mid-low,agriculture,education
AT,educ,2,Employment change,"Agric/extractive,11_19",-18799.23,Sector,Agriculture,2011–2019,Education,Mid-low,agriculture,education
AT,educ,2,Employment change,"Agric/extractive,19_22",-3981.184,Sector,Agriculture,2019–2022,Education,Mid-low,agriculture,education
AT,educ,2,Employment change,"15-29,11_22",-42345.92,Age,15–29,2011–2022,Education,Mid-low,15–29,education
AT,educ,2,Employment change,"15-29,11_19",-23248.11,Age,15–29,2011–2019,Education,Mid-low,15–29,education
AT,educ,2,Employment change,"15-29,19_22",-19097.81,Age,15–29,2019–2022,Education,Mid-low,15–29,education
AT,educ,2,Employment change,"30-49,11_22",-57947.37,Age,30–49,2011–2022,Education,Mid-low,30–49,education
AT,educ,2,Employment change,"30-49,11_19",-52185.25,Age,30–49,2011–2019,Education,Mid-low,30–49,education
AT,educ,2,Employment change,"30-49,19_22",-5762.118,Age,30–49,2019–2022,Education,Mid-low,30–49,education
AT,educ,2,Employment change,"50-64,11_22",63371.7,Age,50–64,2011–2022,Education,Mid-low,50–64,education
AT,educ,2,Employment change,"50-64,11_19",60350.99,Age,50–64,2011–2019,Education,Mid-low,50–64,education
AT,educ,2,Employment change,"50-64,19_22",3020.715,Age,50–64,2019–2022,Education,Mid-low,50–64,education
AT,educ,3,Employment change,"All employment,11_22",9500.814,All,All,2011–2022,Education,Mid,all,education
AT,educ,3,Employment change,"All employment,11_19",23116.45,All,All,2011–2019,Education,Mid,all,education
AT,educ,3,Employment change,"All employment,19_22",-13615.64,All,All,2019–2022,Education,Mid,all,education
AT,educ,3,Employment change,"Non-core,11_22",15635.52,Core/non-core,Noncore,2011–2022,Education,Mid,noncore,education
AT,educ,3,Employment change,"Non-core,11_19",738.2638,Core/non-core,Noncore,2011–2019,Education,Mid,noncore,education
AT,educ,3,Employment change,"Non-core,19_22",14897.26,Core/non-core,Noncore,2019–2022,Education,Mid,noncore,education
AT,educ,3,Employment change,"Core,11_22",-7933.104,Core/non-core,Core,2011–2022,Education,Mid,core,education
AT,educ,3,Employment change,"Core,11_19",20479.8,Core/non-core,Core,2011–2019,Education,Mid,core,education
AT,educ,3,Employment change,"Core,19_22",-28412.91,Core/non-core,Core,2019–2022,Education,Mid,core,education
AT,educ,3,Employment change,"Full-time,11_22",-28900.55,Working hours,Full time,2011–2022,Education,Mid,full time,education
AT,educ,3,Employment change,"Full-time,11_19",-2939.627,Working hours,Full time,2011–2019,Education,Mid,full time,education
AT,educ,3,Employment change,"Full-time,19_22",-25960.93,Working hours,Full time,2019–2022,Education,Mid,full time,education
AT,educ,3,Employment change,"Part-time,11_22",43130.12,Working hours,Part time,2011–2022,Education,Mid,part time,education
AT,educ,3,Employment change,"Part-time,11_19",28470.08,Working hours,Part time,2011–2019,Education,Mid,part time,education
AT,educ,3,Employment change,"Part-time,19_22",14660.03,Working hours,Part time,2019–2022,Education,Mid,part time,education
AT,educ,3,Employment change,"Employee,11_22",24266.21,Employment status,Employee,2011–2022,Education,Mid,employee,education
AT,educ,3,Employment change,"Employee,11_19",44490.83,Employment status,Employee,2011–2019,Education,Mid,employee,education
AT,educ,3,Employment change,"Employee,19_22",-20224.63,Employment status,Employee,2019–2022,Education,Mid,employee,education
AT,educ,3,Employment change,"Self-employe,11_22",2402.596,Employment status,Self employed,2011–2022,Education,Mid,self employed,education
AT,educ,3,Employment change,"Self-employe,11_19",-1863.1,Employment status,Self employed,2011–2019,Education,Mid,self employed,education
AT,educ,3,Employment change,"Self-employe,19_22",4265.695,Employment status,Self employed,2019–2022,Education,Mid,self employed,education
AT,educ,3,Employment change,"Permanent,11_22",38988.33,Contractual status,Permanent,2011–2022,Education,Mid,permanent,education
AT,educ,3,Employment change,"Permanent,11_19",57274.33,Contractual status,Permanent,2011–2019,Education,Mid,permanent,education
AT,educ,3,Employment change,"Permanent,19_22",-18286.01,Contractual status,Permanent,2019–2022,Education,Mid,permanent,education
AT,educ,3,Employment change,"Temporary,11_22",-6220.85,Contractual status,Temporary,2011–2022,Education,Mid,temporary,education
AT,educ,3,Employment change,"Temporary,11_19",-8573.96,Contractual status,Temporary,2011–2019,Education,Mid,temporary,education
AT,educ,3,Employment change,"Temporary,19_22",2353.11,Contractual status,Temporary,2019–2022,Education,Mid,temporary,education
AT,educ,3,Employment change,"Male,11_22",6956.175,Gender,Male,2011–2022,Education,Mid,male,education
AT,educ,3,Employment change,"Male,11_19",14757.25,Gender,Male,2011–2019,Education,Mid,male,education
AT,educ,3,Employment change,"Male,19_22",-7801.078,Gender,Male,2019–2022,Education,Mid,male,education
AT,educ,3,Employment change,"Female,11_22",4864.135,Gender,Female,2011–2022,Education,Mid,female,education
AT,educ,3,Employment change,"Female,11_19",11430.5,Gender,Female,2011–2019,Education,Mid,female,education
AT,educ,3,Employment change,"Female,19_22",-6566.365,Gender,Female,2019–2022,Education,Mid,female,education
AT,educ,3,Employment change,"Private services,11_22",21177.01,Sector,Private services,2011–2022,Education,Mid,private services,education
AT,educ,3,Employment change,"Private services,11_19",28321.52,Sector,Private services,2011–2019,Education,Mid,private services,education
AT,educ,3,Employment change,"Private services,19_22",-7144.507,Sector,Private services,2019–2022,Education,Mid,private services,education
AT,educ,3,Employment change,"Public services,11_22",-1651.265,Sector,Public services,2011–2022,Education,Mid,public services,education
AT,educ,3,Employment change,"Public services,11_19",-854.0823,Sector,Public services,2011–2019,Education,Mid,public services,education
AT,educ,3,Employment change,"Public services,19_22",-797.1827,Sector,Public services,2019–2022,Education,Mid,public services,education
AT,educ,3,Employment change,"Manuf/utils,11_22",10886.38,Sector,Manufacturing/utilties,2011–2022,Education,Mid,manufacturing/utilties,education
AT,educ,3,Employment change,"Manuf/utils,11_19",14717.85,Sector,Manufacturing/utilties,2011–2019,Education,Mid,manufacturing/utilties,education
