Topic,Indicator name,Top category,Country Name,Country Code,Category,Value,Count
Affordability,Housing cost overburden rate (>40% of income),Gender,Cyprus,CY,female,0.025821038,5638
Affordability,Housing cost overburden rate (>40% of income),Gender,Czechia,CZ,male,0.077248633,8350
Affordability,Housing cost overburden rate (>40% of income),Gender,Czechia,CZ,female,0.105082512,9494
Affordability,Housing cost overburden rate (>40% of income),Gender,Germany,DE,male,0.134477869,35707
Affordability,Housing cost overburden rate (>40% of income),Gender,Germany,DE,female,0.152495295,37664
Affordability,Housing cost overburden rate (>40% of income),Gender,Denmark,DK,male,0.140208483,5690
Affordability,Housing cost overburden rate (>40% of income),Gender,Denmark,DK,female,0.167722642,6122
Affordability,Housing cost overburden rate (>40% of income),Gender,Estonia,EE,male,0.076827496,5876
Affordability,Housing cost overburden rate (>40% of income),Gender,Estonia,EE,female,0.077140115,6775
Affordability,Housing cost overburden rate (>40% of income),Gender,Greece,EL,male,0.265108705,11054
Affordability,Housing cost overburden rate (>40% of income),Gender,Greece,EL,female,0.304740876,11882
Affordability,Housing cost overburden rate (>40% of income),Gender,Spain,ES,male,0.082754634,32649
Affordability,Housing cost overburden rate (>40% of income),Gender,Spain,ES,female,0.087444961,34593
Affordability,Housing cost overburden rate (>40% of income),Gender,Finland,FI,male,0.050431725,10544
Affordability,Housing cost overburden rate (>40% of income),Gender,Finland,FI,female,0.058570635,10480
Affordability,Housing cost overburden rate (>40% of income),Gender,France,FR,male,0.137648761,18053
Affordability,Housing cost overburden rate (>40% of income),Gender,France,FR,female,0.147431344,19725
Affordability,Housing cost overburden rate (>40% of income),Gender,Croatia,HR,male,0.034377698,9636
Affordability,Housing cost overburden rate (>40% of income),Gender,Croatia,HR,female,0.046336085,10702
Affordability,Housing cost overburden rate (>40% of income),Gender,Hungary,HU,male,0.080229595,8492
Affordability,Housing cost overburden rate (>40% of income),Gender,Hungary,HU,female,0.092979282,9956
Affordability,Housing cost overburden rate (>40% of income),Gender,Ireland,IE,male,0.046436891,4978
Affordability,Housing cost overburden rate (>40% of income),Gender,Ireland,IE,female,0.045902673,5221
Affordability,Housing cost overburden rate (>40% of income),Gender,Italy,IT,male,0.056388084,28425
Affordability,Housing cost overburden rate (>40% of income),Gender,Italy,IT,female,0.057072159,30885
Affordability,Housing cost overburden rate (>40% of income),Gender,Lithuania,LT,male,0.052917928,5313
Affordability,Housing cost overburden rate (>40% of income),Gender,Lithuania,LT,female,0.051333718,7148
Affordability,Housing cost overburden rate (>40% of income),Gender,Luxembourg,LU,male,0.337862462,4963
Affordability,Housing cost overburden rate (>40% of income),Gender,Luxembourg,LU,female,0.354887038,4943
Affordability,Housing cost overburden rate (>40% of income),Gender,Latvia,LV,male,0.110790059,5457
Affordability,Housing cost overburden rate (>40% of income),Gender,Latvia,LV,female,0.135109037,6795
Affordability,Housing cost overburden rate (>40% of income),Gender,Malta,MT,male,0.067401819,5532
Affordability,Housing cost overburden rate (>40% of income),Gender,Malta,MT,female,0.052115038,5461
Affordability,Housing cost overburden rate (>40% of income),Gender,Netherlands,NL,male,0.096609823,13149
Affordability,Housing cost overburden rate (>40% of income),Gender,Netherlands,NL,female,0.094033413,13427
Affordability,Housing cost overburden rate (>40% of income),Gender,Poland,PL,male,0.110195436,20658
Affordability,Housing cost overburden rate (>40% of income),Gender,Poland,PL,female,0.121319965,22945
Affordability,Housing cost overburden rate (>40% of income),Gender,Portugal,PT,male,0.04798314,15866
Affordability,Housing cost overburden rate (>40% of income),Gender,Portugal,PT,female,0.049624376,17773
Affordability,Housing cost overburden rate (>40% of income),Gender,Romania,RO,male,0.088952132,8013
Affordability,Housing cost overburden rate (>40% of income),Gender,Romania,RO,female,0.094225734,8703
Affordability,Housing cost overburden rate (>40% of income),Gender,Sweden,SE,male,0.127094239,10886
Affordability,Housing cost overburden rate (>40% of income),Gender,Sweden,SE,female,0.141610533,11089
Affordability,Housing cost overburden rate (>40% of income),Gender,Slovenia,SI,male,0.035086267,11562
