Country,Year,Breakdown,Value,Column,Flag,Column1,ID
Finland,2024,FROM 3 NON AROPE,97.1,,,,Children in formal childcare or education 
France,2015,FROM 3 NON AROPE,96.1,,,,Children in formal childcare or education 
France,2016,FROM 3 NON AROPE,96.6,,,,Children in formal childcare or education 
France,2017,FROM 3 NON AROPE,97.4,,,,Children in formal childcare or education 
France,2018,FROM 3 NON AROPE,96.5,,,,Children in formal childcare or education 
France,2019,FROM 3 NON AROPE,96.7,,,,Children in formal childcare or education 
France,2020,FROM 3 NON AROPE,98.6,,b,,Children in formal childcare or education 
France,2021,FROM 3 NON AROPE,95.8,,,,Children in formal childcare or education 
France,2022,FROM 3 NON AROPE,97.9,,,,Children in formal childcare or education 
France,2023,FROM 3 NON AROPE,98.8,,,,Children in formal childcare or education 
France,2024,FROM 3 NON AROPE,95.7,,,,Children in formal childcare or education 
Germany,2015,FROM 3 NON AROPE,90.6,,,,Children in formal childcare or education 
Germany,2016,FROM 3 NON AROPE,93.7,,,,Children in formal childcare or education 
Germany,2017,FROM 3 NON AROPE,89.6,,,,Children in formal childcare or education 
Germany,2018,FROM 3 NON AROPE,92.3,,,,Children in formal childcare or education 
Germany,2019,FROM 3 NON AROPE,90.7,,,,Children in formal childcare or education 
Germany,2020,FROM 3 NON AROPE,60,,b,,Children in formal childcare or education 
Germany,2021,FROM 3 NON AROPE,90.6,,,,Children in formal childcare or education 
Germany,2022,FROM 3 NON AROPE,92.9,,,,Children in formal childcare or education 
Germany,2023,FROM 3 NON AROPE,88.8,,,,Children in formal childcare or education 
Germany,2024,FROM 3 NON AROPE,88.7,,,,Children in formal childcare or education 
Greece,2015,FROM 3 NON AROPE,76.1,,,,Children in formal childcare or education 
Greece,2016,FROM 3 NON AROPE,68,,,,Children in formal childcare or education 
Greece,2017,FROM 3 NON AROPE,90.7,,,,Children in formal childcare or education 
Greece,2018,FROM 3 NON AROPE,95.8,,,,Children in formal childcare or education 
Greece,2019,FROM 3 NON AROPE,93.6,,,,Children in formal childcare or education 
Greece,2020,FROM 3 NON AROPE,87.9,,,,Children in formal childcare or education 
Greece,2021,FROM 3 NON AROPE,83.9,,,,Children in formal childcare or education 
Greece,2022,FROM 3 NON AROPE,84.4,,,,Children in formal childcare or education 
Greece,2023,FROM 3 NON AROPE,89.7,,,,Children in formal childcare or education 
Greece,2024,FROM 3 NON AROPE,90.7,,,,Children in formal childcare or education 
Hungary,2015,FROM 3 NON AROPE,95,,,,Children in formal childcare or education 
Hungary,2016,FROM 3 NON AROPE,91.3,,,,Children in formal childcare or education 
Hungary,2017,FROM 3 NON AROPE,85.7,,,,Children in formal childcare or education 
Hungary,2018,FROM 3 NON AROPE,86.4,,,,Children in formal childcare or education 
Hungary,2019,FROM 3 NON AROPE,90.6,,,,Children in formal childcare or education 
Hungary,2020,FROM 3 NON AROPE,83.9,,,,Children in formal childcare or education 
Hungary,2021,FROM 3 NON AROPE,100,,,,Children in formal childcare or education 
Hungary,2022,FROM 3 NON AROPE,100,,,,Children in formal childcare or education 
Hungary,2023,FROM 3 NON AROPE,100,,,,Children in formal childcare or education 
Hungary,2024,FROM 3 NON AROPE,100,,,,Children in formal childcare or education 
Ireland,2015,FROM 3 NON AROPE,88.4,,,,Children in formal childcare or education 
Ireland,2016,FROM 3 NON AROPE,88.3,,,,Children in formal childcare or education 
Ireland,2017,FROM 3 NON AROPE,93.1,,,,Children in formal childcare or education 
Ireland,2018,FROM 3 NON AROPE,90,,,,Children in formal childcare or education 
Ireland,2019,FROM 3 NON AROPE,90.3,,b,,Children in formal childcare or education 
Ireland,2020,FROM 3 NON AROPE,90.6,,b,,Children in formal childcare or education 
Ireland,2021,FROM 3 NON AROPE,79,,,,Children in formal childcare or education 
Ireland,2022,FROM 3 NON AROPE,95.8,,,,Children in formal childcare or education 
Ireland,2023,FROM 3 NON AROPE,96.1,,,,Children in formal childcare or education 
Ireland,2024,FROM 3 NON AROPE,95.3,,,,Children in formal childcare or education 
Italy,2015,FROM 3 NON AROPE,91.3,,,,Children in formal childcare or education 
Italy,2016,FROM 3 NON AROPE,95.5,,,,Children in formal childcare or education 
Italy,2017,FROM 3 NON AROPE,94.2,,,,Children in formal childcare or education 
Italy,2018,FROM 3 NON AROPE,93.8,,,,Children in formal childcare or education 
Italy,2019,FROM 3 NON AROPE,97.3,,,,Children in formal childcare or education 
Italy,2020,FROM 3 NON AROPE,,,,,Children in formal childcare or education 
Italy,2021,FROM 3 NON AROPE,95.4,,,,Children in formal childcare or education 
Italy,2022,FROM 3 NON AROPE,95.3,,,,Children in formal childcare or education 
Italy,2023,FROM 3 NON AROPE,95.9,,,,Children in formal childcare or education 
Italy,2024,FROM 3 NON AROPE,95.1,,,,Children in formal childcare or education 
Latvia,2015,FROM 3 NON AROPE,93.4,,,,Children in formal childcare or education 
Latvia,2016,FROM 3 NON AROPE,89.3,,,,Children in formal childcare or education 
Latvia,2017,FROM 3 NON AROPE,90.6,,,,Children in formal childcare or education 
Latvia,2018,FROM 3 NON AROPE,90.7,,,,Children in formal childcare or education 
Latvia,2019,FROM 3 NON AROPE,90.4,,,,Children in formal childcare or education 
Latvia,2020,FROM 3 NON AROPE,87.7,,,,Children in formal childcare or education 
Latvia,2021,FROM 3 NON AROPE,90,,,,Children in formal childcare or education 
Latvia,2022,FROM 3 NON AROPE,93.3,,,,Children in formal childcare or education 
Latvia,2023,FROM 3 NON AROPE,95.8,,,,Children in formal childcare or education 
Latvia,2024,FROM 3 NON AROPE,97.5,,,,Children in formal childcare or education 
Lithuania,2015,FROM 3 NON AROPE,85.9,,,,Children in formal childcare or education 
Lithuania,2016,FROM 3 NON AROPE,83.5,,,,Children in formal childcare or education 
Lithuania,2017,FROM 3 NON AROPE,84.7,,,,Children in formal childcare or education 
Lithuania,2018,FROM 3 NON AROPE,85.3,,,,Children in formal childcare or education 
Lithuania,2019,FROM 3 NON AROPE,84.3,,,,Children in formal childcare or education 
Lithuania,2020,FROM 3 NON AROPE,89.1,,,,Children in formal childcare or education 
Lithuania,2021,FROM 3 NON AROPE,92.4,,,,Children in formal childcare or education 
Lithuania,2022,FROM 3 NON AROPE,93.4,,,,Children in formal childcare or education 
Lithuania,2023,FROM 3 NON AROPE,93.3,,,,Children in formal childcare or education 
Lithuania,2024,FROM 3 NON AROPE,91.5,,p,,Children in formal childcare or education 
Luxembourg,2015,FROM 3 NON AROPE,90.4,,,,Children in formal childcare or education 
Luxembourg,2016,FROM 3 NON AROPE,91.7,,,,Children in formal childcare or education 
Luxembourg,2017,FROM 3 NON AROPE,97.2,,,,Children in formal childcare or education 
Luxembourg,2018,FROM 3 NON AROPE,96,,,,Children in formal childcare or education 
Luxembourg,2019,FROM 3 NON AROPE,93.1,,,,Children in formal childcare or education 
Luxembourg,2020,FROM 3 NON AROPE,92.4,,b,,Children in formal childcare or education 
Luxembourg,2021,FROM 3 NON AROPE,97.5,,,,Children in formal childcare or education 
Luxembourg,2022,FROM 3 NON AROPE,95.3,,,,Children in formal childcare or education 
Luxembourg,2023,FROM 3 NON AROPE,85.9,,,,Children in formal childcare or education 
Luxembourg,2024,FROM 3 NON AROPE,84.5,,,,Children in formal childcare or education 
Malta,2015,FROM 3 NON AROPE,91.2,,,,Children in formal childcare or education 
Malta,2016,FROM 3 NON AROPE,90.3,,,,Children in formal childcare or education 
Malta,2017,FROM 3 NON AROPE,95,,,,Children in formal childcare or education 
Malta,2018,FROM 3 NON AROPE,88.7,,,,Children in formal childcare or education 
Malta,2019,FROM 3 NON AROPE,93.1,,,,Children in formal childcare or education 
Malta,2020,FROM 3 NON AROPE,90.5,,,,Children in formal childcare or education 
Malta,2021,FROM 3 NON AROPE,92.7,,,,Children in formal childcare or education 
Malta,2022,FROM 3 NON AROPE,95.7,,,,Children in formal childcare or education 
Malta,2023,FROM 3 NON AROPE,91.3,,,,Children in formal childcare or education 
Malta,2024,FROM 3 NON AROPE,99.6,,,,Children in formal childcare or education 
Netherlands,2015,FROM 3 NON AROPE,94.3,,,,Children in formal childcare or education 
Netherlands,2016,FROM 3 NON AROPE,95.8,,,,Children in formal childcare or education 
Netherlands,2017,FROM 3 NON AROPE,97,,,,Children in formal childcare or education 
Netherlands,2018,FROM 3 NON AROPE,90,,,,Children in formal childcare or education 
Netherlands,2019,FROM 3 NON AROPE,97,,,,Children in formal childcare or education 
Netherlands,2020,FROM 3 NON AROPE,96.8,,,,Children in formal childcare or education 
Netherlands,2021,FROM 3 NON AROPE,98.3,,,,Children in formal childcare or education 
Netherlands,2022,FROM 3 NON AROPE,98.6,,,,Children in formal childcare or education 
Netherlands,2023,FROM 3 NON AROPE,98,,,,Children in formal childcare or education 
Netherlands,2024,FROM 3 NON AROPE,96.5,,,,Children in formal childcare or education 
Poland,2015,FROM 3 NON AROPE,59.5,,,,Children in formal childcare or education 
Poland,2016,FROM 3 NON AROPE,75,,,,Children in formal childcare or education 
Poland,2017,FROM 3 NON AROPE,78.1,,,,Children in formal childcare or education 
